epoch,accuracy,loss,val_accuracy,val_loss
0,0.9076512455940247,0.32145529985427856,0.3429237902164459,1.8545832633972168
1,0.9949991703033447,0.025236748158931732,0.47356143593788147,1.334704875946045
2,0.9973328709602356,0.015718748793005943,0.9782270789146423,0.12398290634155273
3,0.9954992532730103,0.014407817274332047,1.0,0.009491248987615108
4,0.9984997510910034,0.006683369167149067,0.9992223978042603,0.011118286289274693
5,0.9986664652824402,0.006459498777985573,1.0,0.00031687383307144046
6,0.9988331198692322,0.003797548823058605,1.0,0.00017652053793426603
7,0.998999834060669,0.002767419209703803,0.8794712424278259,0.29659879207611084
8,0.9941657185554504,0.023685578256845474,0.34370139241218567,3.6794464588165283
9,0.9983330368995667,0.0064482600428164005,1.0,0.00026749263633973897
10,0.9996666312217712,0.0018447671318426728,1.0,5.775031968369149e-05
11,0.9998332858085632,0.0009127338998951018,1.0,8.006142888916656e-05
