epoch,accuracy,loss,val_accuracy,val_loss
0,0.9052202105522156,0.3318067491054535,0.6082352995872498,1.6016223430633545
1,0.9940215945243835,0.025224458426237106,0.6917647123336792,0.8992369771003723
2,0.9956255555152893,0.017459699884057045,0.99647057056427,0.018608026206493378
3,0.9973753094673157,0.010338516905903816,1.0,0.0008821559604257345
4,0.9986876845359802,0.0062886448577046394,0.9976470470428467,0.006489685736596584
5,0.9992709159851074,0.004767939914017916,0.9988235235214233,0.001179157174192369
6,0.9995625615119934,0.002230935264378786,1.0,8.394856558879837e-05
7,0.9962087869644165,0.011900424025952816,0.841176450252533,0.5081448554992676
8,0.9943132400512695,0.03653161972761154,1.0,0.0007612695917487144
9,0.9983960390090942,0.00496768020093441,1.0,0.0017941269325092435
10,0.9995625615119934,0.0019330000504851341,1.0,0.0001665269664954394
11,0.9995625615119934,0.001667397445999086,1.0,0.0004186419246252626
